Hlat,Hlong,MaxSusWinds,Clat,Clong,Pop,Area,Death
23.1,75.1,30,30,90,484674,906.1,0
23.1,75.1,30,25.7,80.1,382000,15890,0
23.1,75.1,30,30.4,88,195000,466.3,0
23.1,75.1,30,30.3,89.1,413033,14758,0
23.4,75.7,30,30,90,484674,906.1,0
23.4,75.7,30,25.7,80.1,382000,15890,0
23.4,75.7,30,30.4,88,195000,466.3,0
23.4,75.7,30,30.3,89.1,413033,14758,0
23.4,75.7,30,39.5,77,168000,1173,0
23.8,76.2,30,30,90,484674,906.1,0
23.8,76.2,30,25.7,80.1,382000,15890,0
23.8,76.2,30,30.4,88,195000,466.3,0
23.8,76.2,30,30.3,89.1,413033,14758,0
24.5,76.5,35,30,90,484674,906.1,0
24.5,76.5,35,25.7,80.1,382000,15890,0
24.5,76.5,35,30.4,88,195000,466.3,0
24.5,76.5,35,30.3,89.1,413033,14758,0
25.4,76.9,40,30,90,484674,906.1,0
25.4,76.9,40,25.7,80.1,382000,15890,0
25.4,76.9,40,30.4,88,195000,466.3,0
25.4,76.9,40,30.3,89.1,413033,14758,0
26,77.7,45,30,90,484674,906.1,0
26,77.7,45,25.7,80.1,382000,15890,0
26,77.7,45,30.4,88,195000,466.3,0
26,77.7,45,30.3,89.1,413033,14758,0
26.1,78.4,50,30,90,484674,906.1,0
26.1,78.4,50,25.7,80.1,382000,15890,0
26.1,78.4,50,30.4,88,195000,466.3,0
26.1,78.4,50,30.3,89.1,413033,14758,0
26.2,79,55,30,90,484674,906.1,0
26.2,79,55,25.7,80.1,382000,15890,2
26.2,79,55,30.4,88,195000,466.3,0
26.2,79,55,30.3,89.1,413033,14758,0
26.2,79.6,60,30,90,484674,906.1,0
26.2,79.6,60,25.7,80.1,382000,15890,14
26.2,79.6,60,30.4,88,195000,466.3,0
26.2,79.6,60,30.3,89.1,413033,14758,0
25.9,80.3,70,30,90,484674,906.1,0
25.9,80.3,70,25.7,80.1,382000,15890,0
25.9,80.3,70,30.4,88,195000,466.3,0
25.9,80.3,70,30.3,89.1,413033,14758,0
25.4,81.3,65,30,90,484674,906.1,0
25.4,81.3,65,25.7,80.1,382000,15890,0
25.4,81.3,65,30.4,88,195000,466.3,0
25.4,81.3,65,39.5,77,168000,1173,0
25.1,82,75,30,90,484674,906.1,0
25.1,82,75,30.3,89.1,413033,14758,0
25.1,82,75,30.4,88,195000,466.3,0
25.1,82,75,39.5,77,168000,1173,0
24.9,82.6,85,30,90,484674,906.1,0
24.9,82.6,85,30.3,89.1,413033,14758,0
24.9,82.6,85,30.4,88,195000,466.3,0
24.9,82.6,85,39.5,77,168000,1173,0
24.6,83.3,90,30,90,484674,906.1,0
24.6,83.3,90,30.3,89.1,413033,14758,0
24.6,83.3,90,30.4,88,195000,466.3,0
24.6,83.3,90,39.5,77,168000,1173,0
24.4,84,95,30,90,484674,906.1,0
24.4,84,95,30.3,89.1,413033,14758,0
24.4,84,95,30.4,88,195000,466.3,0
24.4,84,95,39.5,77,168000,1173,0
24.4,84.7,100,30,90,484674,906.1,0
24.4,84.7,100,30.3,89.1,413033,14758,0
24.4,84.7,100,30.4,88,195000,466.3,0
24.4,84.7,100,39.5,77,168000,1173,0
24.5,85.2,100,30,90,484674,906.1,0
24.5,85.2,100,30.3,89.1,413033,14758,0
24.5,85.2,100,30.4,88,195000,466.3,0
24.5,85.2,100,39.5,77,168000,1173,0
24.8,85.9,100,30,90,484674,906.1,0
24.8,85.9,100,30.3,89.1,413033,14758,0
24.8,85.9,100,30.4,88,195000,466.3,0
24.8,85.9,100,39.5,77,168000,1173,0
25.2,86.7,125,30,90,484674,906.1,0
25.2,86.7,125,30.3,89.1,413033,14758,0
25.2,86.7,125,30.4,88,195000,466.3,0
25.2,86.7,125,39.5,77,168000,1173,0
25.7,87.7,145,30,90,484674,906.1,0
25.7,87.7,145,30.3,89.1,413033,14758,0
25.7,87.7,145,30.4,88,195000,466.3,0
25.7,87.7,145,39.5,77,168000,1173,0
26.3,88.6,150,30,90,484674,906.1,0
26.3,88.6,150,30.3,89.1,413033,14758,0
26.3,88.6,150,30.4,88,195000,466.3,0
26.3,88.6,150,39.5,77,168000,1173,0
27.2,89.2,140,30,90,484674,906.1,0
27.2,89.2,140,30.3,89.1,413033,14758,0
27.2,89.2,140,30.4,88,195000,466.3,0
27.2,89.2,140,39.5,77,168000,1173,0
28.2,89.6,125,30,90,484674,906.1,0
28.2,89.6,125,30.3,89.1,413033,14758,0
28.2,89.6,125,30.4,88,195000,466.3,0
28.2,89.6,125,39.5,77,168000,1173,0
29.5,89.6,110,30,90,484674,906.1,700
29.5,89.6,110,30.3,89.1,413033,14758,2
29.5,89.6,110,30.4,88,195000,466.3,1
29.5,89.6,110,39.5,77,168000,1173,1
31.1,89.6,80,30,90,484674,906.1,266
31.1,89.6,80,30.3,89.1,413033,14758,234
31.1,89.6,80,30.4,88,195000,466.3,1
31.1,89.6,80,39.5,77,168000,1173,1
32.6,89.1,50,30,90,484674,906.1,0
32.6,89.1,50,30.3,89.1,413033,14758,0
32.6,89.1,50,30.4,88,195000,466.3,0
32.6,89.1,50,39.5,77,168000,1173,0
34.1,88.6,40,30,90,484674,906.1,0
34.1,88.6,40,30.3,89.1,413033,14758,0
34.1,88.6,40,30.4,88,195000,466.3,0
34.1,88.6,40,39.5,77,168000,1173,0
35.6,88,30,30,90,484674,906.1,0
35.6,88,30,30.3,89.1,413033,14758,0
35.6,88,30,30.4,88,195000,466.3,0
35.6,88,30,39.5,77,168000,1173,0
37,87,30,30,90,484674,906.1,0
37,87,30,30.3,89.1,413033,14758,0
37,87,30,30.4,88,195000,466.3,0
37,87,30,39.5,77,168000,1173,0
38.6,85.3,30,30,90,484674,906.1,0
38.6,85.3,30,30.3,89.1,413033,14758,0
38.6,85.3,30,30.4,88,195000,466.3,0
38.6,85.3,30,39.5,77,168000,1173,0
40.1,82.9,25,30,90,484674,906.1,0
40.1,82.9,25,30.3,89.1,413033,14758,0
40.1,82.9,25,30.4,88,195000,466.3,0
40.1,82.9,25,39.5,77,168000,1173,0
